Esemble Gene ID,RP3V,ARC Log2>7,Gene Name
ENSMUSG00000031467,7.61,9.49,Agpat5
ENSMUSG00000021557,3.97,7.85,Agtpbp1
ENSMUSG00000027893,4.95,9.66,Ahcyl1
ENSMUSG00000019986,14.14,14.01,Ahi1
ENSMUSG00000021037,8.64,11.72,Ahsa1
ENSMUSG00000020288,6.26,7.44,Ahsa2
ENSMUSG00000062753,7.83,7.48,AI413582
ENSMUSG00000036932,3.28,7.51,Aifm1
ENSMUSG00000022763,6.69,7.52,Aifm3
ENSMUSG00000019806,8.2,11.09,Aig1
ENSMUSG00000028029,7.79,11.17,Aimp1
ENSMUSG00000029610,6.9,10.76,Aimp2
ENSMUSG00000024847,9.97,11.54,Aip
ENSMUSG00000039546,0.18,8.73,Ajap1
ENSMUSG00000026817,7.04,10.36,Ak1
ENSMUSG00000028792,7.33,10.07,Ak2
ENSMUSG00000039058,3.22,8.15,Ak5
ENSMUSG00000078941,7.24,8.82,Ak6
ENSMUSG00000078941,7.24,8.82,Ak6
ENSMUSG00000022016,7.47,9.2,Akap11
ENSMUSG00000059708,10.01,9,Akap17b
ENSMUSG00000039166,6.74,7.67,Akap7
ENSMUSG00000002625,6.44,10.79,Akap8l
ENSMUSG00000040407,13.16,12.5,Akap9
ENSMUSG00000023075,7.5,10.7,Akirin1
ENSMUSG00000028291,5.92,10.41,Akirin2
ENSMUSG00000028692,12.71,13.42,Akr1a1
ENSMUSG00000001642,4.94,9.71,Akr1b3
ENSMUSG00000045410,9.99,11.6,Akr1e1
ENSMUSG00000001729,5.47,7.68,Akt1
ENSMUSG00000031667,10.69,12.12,Aktip
ENSMUSG00000028393,8.65,10.83,Alad
ENSMUSG00000010025,4.26,7.96,Aldh3a2
ENSMUSG00000075296,3.34,8.61,Aldh3b2
ENSMUSG00000021238,5.01,7.17,Aldh6a1
ENSMUSG00000030695,14.52,15.25,Aldoa
ENSMUSG00000059343,6.96,7.73,Aldoart1
ENSMUSG00000017390,10.27,7.4,Aldoc
ENSMUSG00000063362,4.24,8.63,Alg11
ENSMUSG00000039740,8.34,12.08,Alg2
ENSMUSG00000036632,5.46,11.13,Alg5
ENSMUSG00000079036,4.91,8.69,Alkbh1
ENSMUSG00000079036,4.91,8.69,Alkbh1
ENSMUSG00000042831,9.05,11.01,Alkbh6
ENSMUSG00000002661,7.79,9.9,Alkbh7
ENSMUSG00000025134,5.55,10.32,Alyref
ENSMUSG00000022244,7.78,8.05,Amacr
ENSMUSG00000031751,5.81,9.74,Amfr
ENSMUSG00000050947,4.76,7.38,Amigo1
ENSMUSG00000048218,0,7.2,Amigo2
ENSMUSG00000068250,9.29,10.01,Amn1
ENSMUSG00000013076,1.74,7.6,Amotl1
ENSMUSG00000027889,3.18,7.71,Ampd2
ENSMUSG00000021314,7.44,8.95,Amph
ENSMUSG00000074264,5.16,7.02,Amy1
ENSMUSG00000020610,3.62,8.73,Amz2
ENSMUSG00000014355,2.68,7.88,Anapc1
ENSMUSG00000036977,6.01,9.96,Anapc10
ENSMUSG00000025135,10.81,11.26,Anapc11
ENSMUSG00000035048,10.56,11.11,Anapc13
ENSMUSG00000020107,5.67,9.49,Anapc16
ENSMUSG00000026965,5.09,9.31,Anapc2
ENSMUSG00000029176,5.47,9.21,Anapc4
ENSMUSG00000029472,7.95,10.95,Anapc5
ENSMUSG00000026634,5.66,7.36,Angel2
ENSMUSG00000032826,11.03,10.19,Ank2
ENSMUSG00000069601,8.85,9.64,Ank3
ENSMUSG00000036188,7.45,9.22,Ankmy2
ENSMUSG00000021661,8.23,10.64,Ankra2
ENSMUSG00000031508,3.18,10.28,Ankrd10
ENSMUSG00000035569,2.81,9.49,Ankrd11
