cluster_id	rho_rp3v	rho_arc	delta_rp3v_minus_arc	label	parent_supertype	mfr	top_anat	top_anat_n	delta_arc_minus_rp3v
CS20230722_CLUS_1909	0.3541263819726748	0.2759777141832725	0.07814866778940233	1909 PVpo-VMPO-MPN Hmx2 Gaba_3	CS20230722_SUPT_0484	1.56	Medial preoptic nucleus	22.0	-0.07814866778940233
CS20230722_CLUS_4719	0.32144969351665703	0.24336568025371505	0.07808401326294198	4719 NI-RPO Gata3 Nr4a2 Gaba_1	CS20230722_SUPT_1052	0.82	Nucleus incertus	5.0	-0.07808401326294198
CS20230722_CLUS_4636	0.3525839735217903	0.27455792274932567	0.0780260507724646	4636 PRNc Otp Gly-Gaba_1	CS20230722_SUPT_1036	1.0	Pontine reticular nucleus, caudal part	22.0	-0.0780260507724646
CS20230722_CLUS_3977	0.3280761831709936	0.2500536790392203	0.07802250413177325	3977 LDT-PCG Vsx2 Lhx4 Glut_1	CS20230722_SUPT_0906	2.7	Laterodorsal tegmental nucleus	22.0	-0.07802250413177325
CS20230722_CLUS_1943	0.3468064333455569	0.2687916284586862	0.07801480488687068	1943 DMH Hmx2 Gaba_3	CS20230722_SUPT_0489	2.23	Dorsomedial nucleus of the hypothalamus	13.0	-0.07801480488687068
CS20230722_CLUS_3900	0.37140001026614733	0.29338751130199403	0.0780124989641533	3900 MB-MY Tph2 Glut-Sero_3	CS20230722_SUPT_0890	2.03	Dorsal nucleus raphe	18.0	-0.0780124989641533
CS20230722_CLUS_1985	0.3197013852052	0.24170054584120582	0.07800083936399416	1985 LGv-ZI Otx2 Gaba_5	CS20230722_SUPT_0500	2.33	Ventral part of the lateral geniculate complex	3.0	-0.07800083936399416
CS20230722_CLUS_0705	0.33570800582544785	0.2577553688888185	0.07795263693662935	0705 RHP-COA Ndnf Gaba_6	CS20230722_SUPT_0198	1.04	Field CA1, stratum oriens	10.0	-0.07795263693662935
CS20230722_CLUS_1950	0.3504679358861772	0.2725383407383129	0.0779295951478643	1950 DMH Hmx2 Gaba_4	CS20230722_SUPT_0490	1.94	Hypothalamus	3.0	-0.0779295951478643
CS20230722_CLUS_1574	0.3665452883565897	0.2886514344304528	0.0778938539261369	1574 TMv-PMv Tbx3 Hist-Gaba_1	CS20230722_SUPT_0429	1.17	Dorsomedial nucleus of the hypothalamus	8.0	-0.0778938539261369
CS20230722_CLUS_3466	0.3762693975593516	0.29838686405593906	0.07788253350341257	3466 IC Six3 En2 Gaba_1	CS20230722_SUPT_0807	1.27	Midbrain	65.0	-0.07788253350341257
CS20230722_CLUS_4658	0.319549936623353	0.24174279792606876	0.07780713869728426	4658 PRNc Otp Gly-Gaba_4	CS20230722_SUPT_1039	0.82	Pontine reticular nucleus, caudal part	12.0	-0.07780713869728426
CS20230722_CLUS_5135	0.29392644637151694	0.21622712898394653	0.07769931738757041	5135 SPVI-SPVC Sall3 Nfib Gly-Gaba_1	CS20230722_SUPT_1136	1.04	Spinal nucleus of the trigeminal, interpolar part	1.0	-0.07769931738757041
CS20230722_CLUS_1514	0.33726639977315803	0.25957321780109527	0.07769318197206276	1514 PVR Six3 Sox3 Gaba_3	CS20230722_SUPT_0413	2.03	Anterior hypothalamic nucleus	20.0	-0.07769318197206276
CS20230722_CLUS_1526	0.33412145272430055	0.2565002810140432	0.07762117171025734	1526 PVR Six3 Sox3 Gaba_7	CS20230722_SUPT_0417	1.0	Anteroventral periventricular nucleus	12.0	-0.07762117171025734
CS20230722_CLUS_1664	0.33919755462543405	0.26158707512997514	0.0776104794954589	1664 AHN-SBPV-PVHd Pdrm12 Gaba_4	CS20230722_SUPT_0449	2.23	Anterior hypothalamic nucleus	61.0	-0.0776104794954589
CS20230722_CLUS_1458	0.3551796092299652	0.27771519515767845	0.07746441407228677	1458 MPO-ADP Lhx8 Gaba_1	CS20230722_SUPT_0402	1.78	Lateral preoptic area	22.0	-0.07746441407228677
CS20230722_CLUS_5003	0.36539521494992694	0.2879838101442637	0.07741140480566322	5003 RPA Pax6 Hoxb5 Gly-Gaba_1	CS20230722_SUPT_1116	0.61	Medulla	32.0	-0.07741140480566322
CS20230722_CLUS_1165	0.3521465689651895	0.27477614896279146	0.07737042000239802	1165 LSX Prdm12 Zeb2 Gaba_3	CS20230722_SUPT_0328	0.75	Lateral septal nucleus, rostral (rostroventral) part	53.0	-0.07737042000239802
CS20230722_CLUS_1884	0.34632629348315147	0.2690456579182844	0.07728063556486708	1884 PVpo-VMPO-MPN Hmx2 Gaba_1	CS20230722_SUPT_0482	1.17	Ventromedial preoptic nucleus	26.0	-0.07728063556486708
CS20230722_CLUS_1473	0.3475463013998458	0.2702711275415204	0.07727517385832544	1473 MPO-ADP Lhx8 Gaba_4	CS20230722_SUPT_0405	1.0	Substantia innominata	45.0	-0.07727517385832544
CS20230722_CLUS_1704	0.33965062789433864	0.2623957130663723	0.07725491482796631	1704 AHN Onecut3 Gaba_1	CS20230722_SUPT_0456	2.45	Anterior hypothalamic nucleus	62.0	-0.07725491482796631
CS20230722_CLUS_1680	0.3358409207805725	0.258603240566709	0.07723768021386346	1680 AHN-SBPV-PVHd Pdrm12 Gaba_7	CS20230722_SUPT_0452	2.85	Hypothalamus	11.0	-0.07723768021386346
CS20230722_CLUS_4984	0.3711649680281897	0.2939323830517321	0.07723258497645763	4984 PAS-MV Ebf2 Gly-Gaba_2	CS20230722_SUPT_1110	0.89	Cuneate nucleus	237.0	-0.07723258497645763
CS20230722_CLUS_1951	0.3482361805589996	0.2710076317380872	0.0772285488209124	1951 DMH Hmx2 Gaba_4	CS20230722_SUPT_0490	1.94	Dorsomedial nucleus of the hypothalamus	9.0	-0.0772285488209124
CS20230722_CLUS_5145	0.33445898236291594	0.25724449712210373	0.0772144852408122	5145 SPVI-SPVC Sall3 Lhx1 Gly-Gaba_1	CS20230722_SUPT_1138	1.44	Spinal nucleus of the trigeminal, interpolar part	9.0	-0.0772144852408122
CS20230722_CLUS_3504	0.3625071786999304	0.28530293136768803	0.07720424733224235	3504 IC Six3 En2 Gaba_6	CS20230722_SUPT_0812	1.7	Midbrain	7.0	-0.07720424733224235
CS20230722_CLUS_1509	0.3416321349258414	0.26443757960168063	0.07719455532416075	1509 PVR Six3 Sox3 Gaba_2	CS20230722_SUPT_0412	1.7	Retrochiasmatic area	35.0	-0.07719455532416075
CS20230722_CLUS_1777	0.35453965556727274	0.2773462295283756	0.07719342603889712	1777 ZI Pax6 Gaba_9	CS20230722_SUPT_0467	2.33	Zona incerta	54.0	-0.07719342603889712
