# metadata = mmc_output.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_SUPT", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "supertype", "cluster"]
# algorithm: 'hierarchical'; codebase: http://github.com/AllenInstitute/cell_type_mapper; version: 1.7.1
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
O147,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O149,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O151,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,1.0000
O159,CS20230722_CLAS_30,30 Astro-Epen,0.7100,CS20230722_SUBC_319,319 Astro-TE NN,1.0000,CS20230722_SUPT_1161,1161 Astro-TE NN_1,1.0000,CS20230722_CLUS_5219,5219 Astro-TE NN_1,14930,1.0000
O160,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,0.9800
O162,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O164,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O165,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,0.9200
O171,CS20230722_CLAS_07,07 CTX-MGE GABA,0.9800,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O204,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,1.0000
O205,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,1.0000
O210,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O216,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,0.6600
O222,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O240,CS20230722_CLAS_34,34 Immune,0.6500,CS20230722_SUBC_334,334 Microglia NN,1.0000,CS20230722_SUPT_1194,1194 Microglia NN_1,1.0000,CS20230722_CLUS_5312,5312 Microglia NN_1,5283,1.0000
