# metadata = result.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_SUPT", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "supertype", "cluster"]
# algorithm: 'hierarchical'; codebase: http://github.com/AllenInstitute/cell_type_mapper; version: 1.7.1
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
Rhylin,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9800,CS20230722_SUBC_046,046 Vip Gaba,0.7700,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.5000,CS20230722_CLUS_0657,0657 Vip Gaba_9,657,0.8600
Zuha,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,0.6600,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.9500,CS20230722_CLUS_0623,0623 Vip Gaba_1,649,0.9600
Trajan,CS20230722_CLAS_06,06 CTX-CGE GABA,0.7200,CS20230722_SUBC_046,046 Vip Gaba,0.9700,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,0.9900
Saurav,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,0.9400,CS20230722_SUPT_0182,0182 Vip Gaba_10,0.9400,CS20230722_CLUS_0659,0659 Vip Gaba_10,691,1.0000
Rocklynn,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9600,CS20230722_SUBC_046,046 Vip Gaba,0.9400,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.9800,CS20230722_CLUS_0623,0623 Vip Gaba_1,649,0.9800
Brenli,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9500,CS20230722_SUBC_046,046 Vip Gaba,1.0000,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.9800,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,0.9500
Avianna,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9800,CS20230722_SUBC_046,046 Vip Gaba,0.8700,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.4200,CS20230722_CLUS_0623,0623 Vip Gaba_1,649,1.0000
Aleese,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9600,CS20230722_SUBC_046,046 Vip Gaba,0.9500,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.9900,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,1.0000
Rhyan,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9600,CS20230722_SUBC_046,046 Vip Gaba,0.7700,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.8000,CS20230722_CLUS_0623,0623 Vip Gaba_1,649,1.0000
Aaliyah,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9200,CS20230722_SUBC_046,046 Vip Gaba,0.6900,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.5400,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,0.9400
Reniyah,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9500,CS20230722_SUBC_046,046 Vip Gaba,0.8600,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.9100,CS20230722_CLUS_0623,0623 Vip Gaba_1,649,1.0000
Gildardo,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9900,CS20230722_SUBC_046,046 Vip Gaba,0.9800,CS20230722_SUPT_0181,0181 Vip Gaba_9,1.0000,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,0.9800
Tydus,CS20230722_CLAS_06,06 CTX-CGE GABA,0.8200,CS20230722_SUBC_046,046 Vip Gaba,0.9600,CS20230722_SUPT_0181,0181 Vip Gaba_9,1.0000,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,1.0000
Asiya,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,0.7200,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.8700,CS20230722_CLUS_0623,0623 Vip Gaba_1,649,1.0000
Djimon,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9900,CS20230722_SUBC_046,046 Vip Gaba,1.0000,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.9000,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,0.9500
