# metadata = mmc_extended.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_SUPT", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "supertype", "cluster"]
# algorithm: 'hierarchical'; codebase: http://github.com/AllenInstitute/cell_type_mapper; version: 1.7.1
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
Som47,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,1.0000
Som48,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,1.0000
Som105,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0767,0767 Sst Gaba_3,533,0.9800
Som109,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0772,0772 Sst Gaba_3,543,1.0000
Som115,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0772,0772 Sst Gaba_3,543,0.6500
Som116,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,0.6400
Som124,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,0.9800,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0767,0767 Sst Gaba_3,533,0.9700
Som126,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0772,0772 Sst Gaba_3,543,0.8200
Som127,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,0.5700
Som128,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,1.0000
Som131,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,0.8500
Som134,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0223,0223 Sst Gaba_10,0.6400,CS20230722_CLUS_0802,0802 Sst Gaba_10,524,0.6200
Som137,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0767,0767 Sst Gaba_3,533,1.0000
Som138,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,1.0000
