source_label,level,target_name,n_cells,coverage,purity,f1,mean_boot,median_boot
MC-01_Nefm_Tac2,subclass,082 CEA-BST Ebf1 Pdyn Gaba,258,0.7107438016528925,0.3638928067700987,0.4813432835820896,0.9867054263565891,1.0
MC-01_Nefm_Tac2,subclass,083 CEA-BST Rai14 Pdyn Crh Gaba,12,0.03305785123966942,0.6,0.06266318537859009,0.9866666666666667,1.0
MC-01_Nefm_Tac2,subclass,088 BST Tac2 Gaba,8,0.02203856749311295,0.8888888888888888,0.043010752688172046,0.97125,0.995
MC-01_Nefm_Tac2,subclass,101 ZI Pax6 Gaba,1,0.0027548209366391185,1.0,0.005494505494505495,0.86,0.86
MC-01_Nefm_Tac2,subclass,106 PVpo-VMPO-MPN Hmx2 Gaba,1,0.0027548209366391185,1.0,0.005494505494505495,1.0,1.0
MC-01_Nefm_Tac2,subclass,332 SMC NN,1,0.0027548209366391185,0.06666666666666667,0.005291005291005291,1.0,1.0
MC-02_Sst_Pdyn_Crh,subclass,062 STR D2 Gaba,1,0.05,0.008771929824561403,0.014925373134328358,0.99,0.99
MC-02_Sst_Pdyn_Crh,subclass,079 CEA-BST Six3 Cyp26b1 Gaba,2,0.1,0.004357298474945534,0.008350730688935283,1.0,1.0
MC-02_Sst_Pdyn_Crh,subclass,082 CEA-BST Ebf1 Pdyn Gaba,17,0.85,0.023977433004231313,0.04663923182441701,0.9994117647058822,1.0
MC-03_Sst_Pdyn,subclass,055 STR Lhx8 Gaba,1,0.010869565217391304,0.5,0.021276595744680847,0.98,0.98
MC-03_Sst_Pdyn,subclass,062 STR D2 Gaba,2,0.021739130434782608,0.017543859649122806,0.019417475728155338,0.995,0.995
MC-03_Sst_Pdyn,subclass,073 MEA-BST Sox6 Gaba,1,0.010869565217391304,0.25,0.020833333333333332,1.0,1.0
MC-03_Sst_Pdyn,subclass,075 MEA-BST Lhx6 Nr2e1 Gaba,1,0.010869565217391304,1.0,0.02150537634408602,1.0,1.0
MC-03_Sst_Pdyn,subclass,079 CEA-BST Six3 Cyp26b1 Gaba,13,0.14130434782608695,0.02832244008714597,0.047186932849364795,0.9861538461538462,1.0
MC-03_Sst_Pdyn,subclass,080 CEA-AAA-BST Six3 Sp9 Gaba,2,0.021739130434782608,0.031746031746031744,0.025806451612903222,1.0,1.0
MC-03_Sst_Pdyn,subclass,081 ACB-BST-FS D1 Gaba,1,0.010869565217391304,0.3333333333333333,0.021052631578947368,1.0,1.0
MC-03_Sst_Pdyn,subclass,082 CEA-BST Ebf1 Pdyn Gaba,71,0.7717391304347826,0.1001410437235543,0.1772784019975031,0.9930985915492958,1.0
MC-05_MSN_Drd2Scn4b,subclass,062 STR D2 Gaba,15,0.8333333333333334,0.13157894736842105,0.22727272727272727,0.9993333333333333,1.0
MC-05_MSN_Drd2Scn4b,subclass,083 CEA-BST Rai14 Pdyn Crh Gaba,3,0.16666666666666666,0.15,0.15789473684210525,1.0,1.0
MC-06_PKCd_Cartpt,subclass,062 STR D2 Gaba,4,0.038461538461538464,0.03508771929824561,0.03669724770642201,1.0,1.0
MC-06_PKCd_Cartpt,subclass,079 CEA-BST Six3 Cyp26b1 Gaba,98,0.9423076923076923,0.21350762527233116,0.3481349911190053,0.9997959183673469,1.0
MC-06_PKCd_Cartpt,subclass,080 CEA-AAA-BST Six3 Sp9 Gaba,1,0.009615384615384616,0.015873015873015872,0.011976047904191617,1.0,1.0
MC-06_PKCd_Cartpt,subclass,082 CEA-BST Ebf1 Pdyn Gaba,1,0.009615384615384616,0.0014104372355430183,0.0024600246002460025,1.0,1.0
MC-07_AST_Drd1,subclass,014 LA-BLA-BMA-PA Glut,1,0.1111111111111111,0.038461538461538464,0.05714285714285715,1.0,1.0
MC-07_AST_Drd1,subclass,061 STR D1 Gaba,2,0.2222222222222222,0.25,0.23529411764705882,1.0,1.0
MC-07_AST_Drd1,subclass,080 CEA-AAA-BST Six3 Sp9 Gaba,1,0.1111111111111111,0.015873015873015872,0.027777777777777776,0.99,0.99
MC-07_AST_Drd1,subclass,082 CEA-BST Ebf1 Pdyn Gaba,5,0.5555555555555556,0.007052186177715092,0.013927576601671309,0.9879999999999999,1.0
MC-09_Gpx3_Gal,subclass,056 Sst Chodl Gaba,1,0.03125,0.3333333333333333,0.05714285714285714,1.0,1.0
MC-09_Gpx3_Gal,subclass,057 NDB-SI-MA-STRv Lhx8 Gaba,2,0.0625,0.14285714285714285,0.08695652173913043,1.0,1.0
MC-09_Gpx3_Gal,subclass,062 STR D2 Gaba,1,0.03125,0.008771929824561403,0.0136986301369863,1.0,1.0
MC-09_Gpx3_Gal,subclass,074 MEA-BST Lhx6 Sp9 Gaba,2,0.0625,0.2857142857142857,0.10256410256410256,1.0,1.0
MC-09_Gpx3_Gal,subclass,076 MEA-BST Lhx6 Nfib Gaba,1,0.03125,1.0,0.06060606060606061,1.0,1.0
MC-09_Gpx3_Gal,subclass,077 CEA-BST Gal Avp Gaba,3,0.09375,0.16666666666666666,0.12000000000000002,1.0,1.0
MC-09_Gpx3_Gal,subclass,079 CEA-BST Six3 Cyp26b1 Gaba,9,0.28125,0.0196078431372549,0.03665987780040733,0.9822222222222222,1.0
MC-09_Gpx3_Gal,subclass,080 CEA-AAA-BST Six3 Sp9 Gaba,3,0.09375,0.047619047619047616,0.06315789473684211,0.9666666666666667,0.98
MC-09_Gpx3_Gal,subclass,082 CEA-BST Ebf1 Pdyn Gaba,10,0.3125,0.014104372355430184,0.02699055330634278,0.985,1.0
