source_label,level,target_name,n_cells,group_purity,target_purity,f1,mean_boot,median_boot
Cajal-Retzius,supertype,0135 HPF CR Glut_1,33,1.0,0.9705882352941176,0.9850746268656716,1.0,1.0
Cck-Tox,supertype,0081 L2 IT PPP-APr Glut_2,9,0.391304347826087,1.0,0.5625,0.9788888888888889,1.0
Cck-Tox,supertype,0082 L2 IT PPP-APr Glut_3,2,0.08695652173913043,1.0,0.16,0.9299999999999999,0.9299999999999999
Cck-Tox,supertype,0085 L2/3 IT PPP Glut_2,12,0.5217391304347826,1.0,0.6857142857142856,0.9766666666666667,0.995
Endothelial,supertype,1193 Endo NN_1,54,1.0,0.8709677419354839,0.9310344827586207,1.0,1.0
GABA-Cnr1,supertype,0177 Vip Gaba_5,2,0.11764705882352941,1.0,0.21052631578947367,0.995,0.995
GABA-Cnr1,supertype,0181 Vip Gaba_9,1,0.058823529411764705,1.0,0.1111111111111111,1.0,1.0
GABA-Cnr1,supertype,0185 Sncg Gaba_1,3,0.17647058823529413,1.0,0.3,1.0,1.0
GABA-Cnr1,supertype,0193 RHP-COA Ndnf Gaba_1,8,0.47058823529411764,1.0,0.6399999999999999,0.995,1.0
GABA-Cnr1,supertype,0195 RHP-COA Ndnf Gaba_3,1,0.058823529411764705,1.0,0.1111111111111111,0.88,0.88
GABA-Cnr1,supertype,0197 RHP-COA Ndnf Gaba_5,1,0.058823529411764705,1.0,0.1111111111111111,1.0,1.0
GABA-Cnr1,supertype,0198 RHP-COA Ndnf Gaba_6,1,0.058823529411764705,0.5,0.10526315789473684,1.0,1.0
GABA-Lhx6,supertype,0198 RHP-COA Ndnf Gaba_6,1,0.029411764705882353,0.5,0.05555555555555555,1.0,1.0
GABA-Lhx6,supertype,0199 Lamp5 Gaba_1,1,0.029411764705882353,1.0,0.05714285714285715,0.99,0.99
GABA-Lhx6,supertype,0203 Lamp5 Lhx6 Gaba_1,18,0.5294117647058824,1.0,0.6923076923076924,1.0,1.0
GABA-Lhx6,supertype,0204 Pvalb chandelier Gaba_1,1,0.029411764705882353,1.0,0.05714285714285715,1.0,1.0
GABA-Lhx6,supertype,0206 Pvalb Gaba_2,2,0.058823529411764705,1.0,0.1111111111111111,0.915,0.915
GABA-Lhx6,supertype,0219 Sst Gaba_6,11,0.3235294117647059,1.0,0.48888888888888893,0.9645454545454545,0.99
Granule-immature,supertype,0039 L2/3 IT PIR-ENTl Glut_1,5,0.008620689655172414,0.2777777777777778,0.016722408026755852,0.9039999999999999,0.94
Granule-immature,supertype,0046 IT AON-TT-DP Glut_1,2,0.0034482758620689655,0.08,0.006611570247933885,0.925,0.925
Granule-immature,supertype,0047 IT AON-TT-DP Glut_2,1,0.0017241379310344827,0.25,0.003424657534246575,0.83,0.83
Granule-immature,supertype,0055 MEA Slc17a7 Glut_1,7,0.01206896551724138,0.28,0.023140495867768594,0.9142857142857144,0.92
Granule-immature,supertype,0058 COAp Grxcr2 Glut_1,5,0.008620689655172414,0.5,0.01694915254237288,0.8959999999999999,0.88
Granule-immature,supertype,0059 COAp Grxcr2 Glut_2,1,0.0017241379310344827,0.09090909090909091,0.00338409475465313,0.84,0.84
Granule-immature,supertype,0060 LA-BLA-BMA-PA Glut_1,2,0.0034482758620689655,0.5,0.00684931506849315,0.9550000000000001,0.9550000000000001
Granule-immature,supertype,0069 CA1-ProS Glut_1,1,0.0017241379310344827,1.0,0.0034423407917383822,0.87,0.87
Granule-immature,supertype,0101 CA2-FC-IG Glut_2,34,0.05862068965517241,0.4657534246575342,0.10413476263399693,0.96,0.975
Granule-immature,supertype,0102 NLOT Rho Glut_1,2,0.0034482758620689655,1.0,0.006872852233676977,1.0,1.0
Granule-immature,supertype,0135 HPF CR Glut_1,1,0.0017241379310344827,0.029411764705882353,0.003257328990228013,1.0,1.0
