source_label,level,best_target,n_cells,group_purity,target_purity,f1,median_boot
OL,class,31 OPC-Oligo,43,1.0,0.7049180327868853,0.8269230769230769,0.94
OL,subclass,327 Oligo NN,49,1.0,0.5444444444444444,0.7050359712230216,1.0
OL,supertype,1184 MOL NN_4,44,0.9565217391304348,1.0,0.9777777777777777,1.0
OL,cluster,5285 MOL NN_4,16,0.6153846153846154,1.0,0.761904761904762,0.95
OPC,class,31 OPC-Oligo,8,1.0,0.13114754098360656,0.23188405797101452,0.88
OPC,subclass,327 Oligo NN,29,0.9666666666666667,0.32222222222222224,0.4833333333333334,0.99
OPC,supertype,1181 COP NN_1,32,0.8888888888888888,0.7272727272727273,0.7999999999999999,1.0
OPC,cluster,5274 COP NN_1,7,1.0,0.5,0.6666666666666666,1.0
PVM,class,34 Immune,8,0.8888888888888888,0.16,0.27118644067796616,0.965
PVM,subclass,335 BAM NN,9,0.9,1.0,0.9473684210526316,1.0
PVM,supertype,1195 BAM NN_1,9,0.9,0.9,0.9,1.0
PVM,cluster,5314 BAM NN_1,8,0.8888888888888888,1.0,0.9411764705882353,1.0
Pericytes,class,33 Vascular,18,1.0,0.21428571428571427,0.35294117647058826,0.95
Pericytes,subclass,332 SMC NN,8,0.5,1.0,0.6666666666666666,1.0
Pericytes,supertype,1192 SMC NN_1,9,0.5,1.0,0.6666666666666666,1.0
Pericytes,cluster,5310 Endo NN_1,8,0.6153846153846154,0.17777777777777778,0.27586206896551724,0.995
Radial Glia-like,class,30 Astro-Epen,26,1.0,0.18181818181818182,0.3076923076923077,0.91
Radial Glia-like,subclass,319 Astro-TE NN,41,0.9761904761904762,0.25,0.3980582524271844,0.96
Radial Glia-like,supertype,1161 Astro-TE NN_1,4,0.8,0.08,0.14545454545454545,0.91
Radial Glia-like,cluster,5219 Astro-TE NN_1,1,1.0,0.021739130434782608,0.042553191489361694,0.99
VLMC,class,33 Vascular,13,1.0,0.15476190476190477,0.2680412371134021,0.98
VLMC,subclass,330 VLMC NN,13,1.0,0.9285714285714286,0.962962962962963,1.0
VLMC,supertype,1187 VLMC NN_1,9,0.75,0.9,0.8181818181818182,0.98
VLMC,cluster,5300 VLMC NN_2,3,0.6,1.0,0.7499999999999999,1.0
nIPC,class,04 DG-IMN Glut,3,0.5,0.004573170731707317,0.00906344410876133,0.84
nIPC,subclass,038 DG-PIR Ex IMN,13,0.52,0.03125,0.05895691609977324,1.0
nIPC,supertype,0141 DG-PIR Ex IMN_2,13,0.5,0.02914798206278027,0.05508474576271187,1.0
nIPC,cluster,0513 DG-PIR Ex IMN_2,3,0.5,0.25,0.3333333333333333,1.0
