source_label,level,target_name,n_cells,group_purity,target_purity,f1,mean_boot,median_boot
CA2-IG-FC,supertype,0101 CA2-FC-IG Glut_2,18,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,1.0
CA3,supertype,0069 CA1-ProS Glut_1,1,0.003194888178913738,0.0010204081632653062,0.0015467904098994587,1.0,1.0
CA3,supertype,0075 CA3 Glut_1,53,0.16932907348242812,0.9814814814814815,0.2888283378746594,0.9973584905660378,1.0
CA3,supertype,0076 CA3 Glut_2,19,0.06070287539936102,0.95,0.11411411411411411,0.994736842105263,1.0
CA3,supertype,0077 CA3 Glut_3,36,0.11501597444089456,1.0,0.20630372492836677,0.9924999999999999,1.0
CA3,supertype,0078 CA3 Glut_4,198,0.6325878594249201,1.0,0.7749510763209393,0.9993939393939394,1.0
CA3,supertype,0079 CA3 Glut_5,5,0.01597444089456869,1.0,0.03144654088050314,1.0,1.0
CA3,supertype,0101 CA2-FC-IG Glut_2,1,0.003194888178913738,0.05263157894736842,0.006024096385542169,0.83,0.83
DG,supertype,0136 DG Glut_1,42,0.017879948914431672,0.9545454545454546,0.035102381947346425,0.9935714285714285,1.0
DG,supertype,0137 DG Glut_2,2109,0.8978288633461047,1.0,0.946164199192463,0.995457562825984,1.0
DG,supertype,0138 DG Glut_3,26,0.011068539804171988,1.0,0.021894736842105265,0.9923076923076923,1.0
DG,supertype,0139 DG Glut_4,172,0.07322264793529161,1.0,0.13645378817929393,0.9722093023255813,1.0
L2/3 IT ENTl,supertype,0136 DG Glut_1,2,1.0,0.045454545454545456,0.08695652173913045,1.0,1.0
L2/3 IT RHP,supertype,0074 CA1-ProS Glut_6,5,1.0,1.0,1.0,1.0,1.0
L6 CT CTX,supertype,0108 L6b/CT ENT Glut_3,1,0.5,1.0,0.6666666666666666,1.0,1.0
L6 CT CTX,supertype,0116 L6 CT CTX Glut_3,1,0.5,1.0,0.6666666666666666,1.0,1.0
L6b CTX,supertype,0107 L6b/CT ENT Glut_2,1,1.0,1.0,1.0,1.0,1.0
Lamp5,supertype,0187 Sncg Gaba_3,1,0.0011574074074074073,0.03225806451612903,0.00223463687150838,1.0,1.0
Lamp5,supertype,0192 Sncg Gaba_8,1,0.0011574074074074073,1.0,0.002312138728323699,1.0,1.0
Lamp5,supertype,0197 RHP-COA Ndnf Gaba_5,1,0.0011574074074074073,0.012048192771084338,0.0021119324181626186,1.0,1.0
Lamp5,supertype,0199 Lamp5 Gaba_1,124,0.14351851851851852,1.0,0.25101214574898784,0.9975806451612903,1.0
Lamp5,supertype,0200 Lamp5 Gaba_2,21,0.024305555555555556,0.6774193548387096,0.04692737430167598,0.9766666666666666,1.0
Lamp5,supertype,0201 Lamp5 Gaba_3,4,0.004629629629629629,1.0,0.009216589861751152,0.9824999999999999,0.99
Lamp5,supertype,0203 Lamp5 Lhx6 Gaba_1,711,0.8229166666666666,0.9888734353268428,0.8982943777637397,1.0,1.0
Lamp5,supertype,0233 STR Prox1 Lhx6 Gaba_1,1,0.0011574074074074073,1.0,0.002312138728323699,1.0,1.0
Micro-PVM,supertype,1194 Microglia NN_1,1,0.05,1.0,0.09523809523809523,1.0,1.0
Micro-PVM,supertype,1195 BAM NN_1,19,0.95,1.0,0.9743589743589743,1.0,1.0
NP SUB,supertype,0127 NP SUB Glut_1,8,0.8888888888888888,1.0,0.9411764705882353,1.0,1.0
NP SUB,supertype,0128 NP SUB Glut_2,1,0.1111111111111111,1.0,0.19999999999999998,1.0,1.0
Oligo,supertype,1181 COP NN_1,1,1.0,1.0,1.0,1.0,1.0
Pvalb,supertype,0203 Lamp5 Lhx6 Gaba_1,6,0.1016949152542373,0.008344923504867872,0.015424164524421595,1.0,1.0
Pvalb,supertype,0204 Pvalb chandelier Gaba_1,26,0.4406779661016949,1.0,0.611764705882353,1.0,1.0
Pvalb,supertype,0205 Pvalb Gaba_1,5,0.0847457627118644,1.0,0.15625,0.982,1.0
Pvalb,supertype,0206 Pvalb Gaba_2,12,0.2033898305084746,0.8,0.3243243243243243,0.9975,1.0
Pvalb,supertype,0209 Pvalb Gaba_5,1,0.01694915254237288,1.0,0.03333333333333333,0.91,0.91
Pvalb,supertype,0211 Pvalb Gaba_7,1,0.01694915254237288,1.0,0.03333333333333333,1.0,1.0
Pvalb,supertype,0213 Pvalb Gaba_9,2,0.03389830508474576,1.0,0.06557377049180328,1.0,1.0
Pvalb,supertype,0219 Sst Gaba_6,6,0.1016949152542373,0.03592814371257485,0.05309734513274336,1.0,1.0
SUB-ProS,supertype,0096 SUB-ProS Glut_1,8,0.25,1.0,0.4,1.0,1.0
SUB-ProS,supertype,0097 SUB-ProS Glut_2,11,0.34375,0.6875,0.4583333333333333,0.9981818181818182,1.0
SUB-ProS,supertype,0098 SUB-ProS Glut_3,13,0.40625,1.0,0.5777777777777777,0.9930769230769231,1.0
Sncg,supertype,0175 Vip Gaba_3,1,0.0026954177897574125,0.2,0.0053191489361702135,1.0,1.0
Sncg,supertype,0179 Vip Gaba_7,3,0.008086253369272238,0.030303030303030304,0.012765957446808512,0.9866666666666667,1.0
Sncg,supertype,0180 Vip Gaba_8,15,0.04043126684636118,0.6521739130434783,0.07614213197969542,0.996,1.0
Sncg,supertype,0181 Vip Gaba_9,3,0.008086253369272238,0.046875,0.013793103448275862,1.0,1.0
Sncg,supertype,0182 Vip Gaba_10,5,0.013477088948787063,0.45454545454545453,0.02617801047120419,0.994,1.0
Sncg,supertype,0185 Sncg Gaba_1,24,0.0646900269541779,1.0,0.12151898734177216,0.9829166666666667,1.0
Sncg,supertype,0187 Sncg Gaba_3,30,0.08086253369272237,0.967741935483871,0.14925373134328357,0.9963333333333334,1.0
Sncg,supertype,0188 Sncg Gaba_4,17,0.04582210242587601,1.0,0.08762886597938144,0.9994117647058822,1.0
Sncg,supertype,0189 Sncg Gaba_5,46,0.12398921832884097,1.0,0.22062350119904078,0.9993478260869565,1.0
Sncg,supertype,0190 Sncg Gaba_6,1,0.0026954177897574125,1.0,0.005376344086021506,0.94,0.94
Sncg,supertype,0193 RHP-COA Ndnf Gaba_1,76,0.20485175202156333,1.0,0.34004474272930646,0.9980263157894737,1.0
Sncg,supertype,0195 RHP-COA Ndnf Gaba_3,22,0.05929919137466307,1.0,0.11195928753180662,0.9981818181818182,1.0
Sncg,supertype,0196 RHP-COA Ndnf Gaba_4,25,0.0673854447439353,1.0,0.12626262626262627,0.998,1.0
Sncg,supertype,0197 RHP-COA Ndnf Gaba_5,82,0.2210242587601078,0.9879518072289156,0.36123348017621143,0.9971951219512195,1.0
Sncg,supertype,0198 RHP-COA Ndnf Gaba_6,20,0.05390835579514825,1.0,0.10230179028132992,0.999,1.0
Sncg,supertype,0357 MEA-BST Lhx6 Nfib Gaba_1,1,0.0026954177897574125,1.0,0.005376344086021506,0.92,0.92
Sst,supertype,0203 Lamp5 Lhx6 Gaba_1,2,0.007782101167315175,0.0027816411682892906,0.004098360655737705,1.0,1.0
Sst,supertype,0206 Pvalb Gaba_2,3,0.011673151750972763,0.2,0.022058823529411763,1.0,1.0
Sst,supertype,0215 Sst Gaba_2,1,0.0038910505836575876,1.0,0.007751937984496124,0.98,0.98
Sst,supertype,0216 Sst Gaba_3,83,0.3229571984435798,1.0,0.4882352941176471,0.996867469879518,1.0
Sst,supertype,0217 Sst Gaba_4,2,0.007782101167315175,1.0,0.015444015444015444,1.0,1.0
Sst,supertype,0219 Sst Gaba_6,161,0.6264591439688716,0.9640718562874252,0.759433962264151,0.9962732919254659,1.0
Sst,supertype,0223 Sst Gaba_10,1,0.0038910505836575876,1.0,0.007751937984496124,0.85,0.85
Sst,supertype,0226 Sst Gaba_13,1,0.0038910505836575876,1.0,0.007751937984496124,0.94,0.94
