source_label,level,best_target,n_cells,coverage,purity,f1,median_boot
GABA-29-Prlr-Greb1,subclass,074 MEA-BST Lhx6 Sp9 Gaba,56,1.0,0.3522012578616352,0.5209302325581395,1.0
GABA-29-Prlr-Greb1,supertype,0347 MEA-BST Lhx6 Sp9 Gaba_1,37,0.7254901960784313,0.8809523809523809,0.7956989247311828,1.0
GABA-29-Prlr-Greb1,cluster,1253 MEA-BST Lhx6 Sp9 Gaba_4,12,0.2857142857142857,1.0,0.4444444444444445,1.0
GABA-3-Foxp2_Col6a1,class,09 CNU-LGE GABA,165,0.9821428571428571,0.3891509433962264,0.5574324324324325,0.98
GABA-3-Foxp2_Col6a1,subclass,064 STR-PAL Chst9 Gaba,155,0.9337349397590361,0.5516014234875445,0.6935123042505593,1.0
GABA-3-Foxp2_Col6a1,supertype,0288 STR-PAL Chst9 Gaba_4,96,0.7218045112781954,0.96,0.8240343347639485,0.985
GABA-3-Foxp2_Col6a1,cluster,1011 STR-PAL Chst9 Gaba_4,68,0.6938775510204082,0.9855072463768116,0.81437125748503,1.0
GABA-30-Prlr-Calcr,class,11 CNU-HYa GABA,47,1.0,0.03420669577874818,0.06615059817030261,1.0
GABA-30-Prlr-Calcr,subclass,075 MEA-BST Lhx6 Nr2e1 Gaba,45,0.9574468085106383,0.4205607476635514,0.5844155844155844,1.0
GABA-30-Prlr-Calcr,supertype,0354 MEA-BST Lhx6 Nr2e1 Gaba_1,44,0.88,1.0,0.9361702127659575,1.0
GABA-30-Prlr-Calcr,cluster,1269 MEA-BST Lhx6 Nr2e1 Gaba_1,18,0.5142857142857142,1.0,0.6792452830188679,1.0
GABA-31-Prlr-Cbln1,class,11 CNU-HYa GABA,17,1.0,0.012372634643377001,0.024442846872753415,1.0
GABA-31-Prlr-Cbln1,subclass,076 MEA-BST Lhx6 Nfib Gaba,16,1.0,0.08465608465608465,0.15609756097560976,1.0
GABA-31-Prlr-Cbln1,supertype,0359 MEA-BST Lhx6 Nfib Gaba_3,16,0.9411764705882353,0.17582417582417584,0.29629629629629634,1.0
GABA-31-Prlr-Cbln1,cluster,1299 MEA-BST Lhx6 Nfib Gaba_3,10,0.7142857142857143,0.9090909090909091,0.8,0.995
GABA-32-Prlr-Tac1,class,11 CNU-HYa GABA,85,1.0,0.06186317321688501,0.11651816312542837,1.0
GABA-32-Prlr-Tac1,subclass,076 MEA-BST Lhx6 Nfib Gaba,84,0.9767441860465116,0.4444444444444444,0.6109090909090908,1.0
GABA-32-Prlr-Tac1,supertype,0359 MEA-BST Lhx6 Nfib Gaba_3,71,0.8987341772151899,0.7802197802197802,0.8352941176470589,1.0
GABA-32-Prlr-Tac1,cluster,1297 MEA-BST Lhx6 Nfib Gaba_3,58,0.7837837837837838,1.0,0.8787878787878788,1.0
GABA-33-Prlr-St18,class,11 CNU-HYa GABA,62,0.9841269841269841,0.04512372634643377,0.08629088378566459,1.0
GABA-33-Prlr-St18,subclass,076 MEA-BST Lhx6 Nfib Gaba,64,0.9696969696969697,0.3386243386243386,0.5019607843137255,1.0
GABA-33-Prlr-St18,supertype,0358 MEA-BST Lhx6 Nfib Gaba_2,54,0.8709677419354839,0.9310344827586207,0.9,1.0
GABA-33-Prlr-St18,cluster,1293 MEA-BST Lhx6 Nfib Gaba_2,15,0.3125,1.0,0.47619047619047616,1.0
GABA-34-Prlr-Satb1,class,11 CNU-HYa GABA,8,1.0,0.005822416302765648,0.011577424023154849,0.955
GABA-34-Prlr-Satb1,subclass,076 MEA-BST Lhx6 Nfib Gaba,6,0.8571428571428571,0.031746031746031744,0.06122448979591836,1.0
GABA-34-Prlr-Satb1,supertype,0357 MEA-BST Lhx6 Nfib Gaba_1,7,0.875,0.6363636363636364,0.7368421052631579,1.0
GABA-34-Prlr-Satb1,cluster,1281 MEA-BST Lhx6 Nfib Gaba_1,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0
GABA-35-Chodl-Moxd1,class,11 CNU-HYa GABA,14,0.8235294117647058,0.010189228529839884,0.020129403306973402,0.985
GABA-35-Chodl-Moxd1,subclass,076 MEA-BST Lhx6 Nfib Gaba,17,0.7727272727272727,0.08994708994708994,0.1611374407582938,1.0
GABA-35-Chodl-Moxd1,supertype,0362 MEA-BST Lhx6 Nfib Gaba_6,17,0.7391304347826086,0.68,0.7083333333333334,1.0
GABA-35-Chodl-Moxd1,cluster,1312 MEA-BST Lhx6 Nfib Gaba_6,7,0.5384615384615384,1.0,0.7000000000000001,1.0
GABA-36-Sst-Fign,class,11 CNU-HYa GABA,19,0.6785714285714286,0.013828238719068414,0.027104136947218256,0.98
GABA-36-Sst-Fign,subclass,075 MEA-BST Lhx6 Nr2e1 Gaba,21,0.525,0.19626168224299065,0.2857142857142857,1.0
GABA-36-Sst-Fign,supertype,0356 MEA-BST Lhx6 Nr2e1 Gaba_3,22,0.5365853658536586,0.7333333333333333,0.6197183098591549,1.0
GABA-36-Sst-Fign,cluster,1280 MEA-BST Lhx6 Nr2e1 Gaba_3,16,0.6956521739130435,0.6666666666666666,0.6808510638297872,1.0
GABA-37-Sst-Npy,class,08 CNU-MGE GABA,21,0.9545454545454546,0.1337579617834395,0.23463687150837992,0.99
GABA-37-Sst-Npy,subclass,056 Sst Chodl Gaba,22,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0
GABA-37-Sst-Npy,supertype,0241 Sst Chodl Gaba_4,8,0.38095238095238093,0.8888888888888888,0.5333333333333333,1.0
GABA-37-Sst-Npy,cluster,0859 Sst Chodl Gaba_4,4,0.25,1.0,0.4,1.0
GABA-38-Sst-Tmtc4,class,07 CTX-MGE GABA,53,0.9636363636363636,0.18996415770609318,0.31736526946107785,0.98
GABA-38-Sst-Tmtc4,subclass,053 Sst Gaba,59,0.9672131147540983,0.48760330578512395,0.6483516483516484,1.0
GABA-38-Sst-Tmtc4,supertype,0215 Sst Gaba_2,48,0.8571428571428571,0.6857142857142857,0.7619047619047619,1.0
GABA-38-Sst-Tmtc4,cluster,0764 Sst Gaba_2,19,0.4634146341463415,1.0,0.6333333333333334,0.97
GABA-39-Sst-Nek7,class,07 CTX-MGE GABA,8,0.6153846153846154,0.02867383512544803,0.054794520547945195,0.985
GABA-39-Sst-Nek7,subclass,053 Sst Gaba,13,0.5652173913043478,0.10743801652892562,0.18055555555555555,1.0
GABA-39-Sst-Nek7,supertype,0230 Sst Gaba_17,13,0.6190476190476191,0.30952380952380953,0.41269841269841273,1.0
GABA-39-Sst-Nek7,cluster,0823 Sst Gaba_17,8,0.6153846153846154,0.5,0.5517241379310345,1.0
GABA-4-Foxp2_Htr1f,class,09 CNU-LGE GABA,14,1.0,0.0330188679245283,0.0639269406392694,0.97
GABA-4-Foxp2_Htr1f,subclass,064 STR-PAL Chst9 Gaba,16,1.0,0.05693950177935943,0.10774410774410774,1.0
GABA-4-Foxp2_Htr1f,supertype,0289 STR-PAL Chst9 Gaba_5,14,0.9333333333333333,0.30434782608695654,0.45901639344262296,0.985
GABA-4-Foxp2_Htr1f,cluster,1015 STR-PAL Chst9 Gaba_5,8,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.965
GABA-40-Rpb4-Sst,class,07 CTX-MGE GABA,44,1.0,0.15770609318996415,0.2724458204334365,1.0
GABA-40-Rpb4-Sst,subclass,052 Pvalb Gaba,29,0.725,0.4461538461538462,0.5523809523809524,1.0
GABA-40-Rpb4-Sst,supertype,0208 Pvalb Gaba_4,10,0.30303030303030304,1.0,0.4651162790697675,1.0
GABA-40-Rpb4-Sst,cluster,0745 Pvalb Gaba_4,7,0.2916666666666667,1.0,0.45161290322580644,1.0
GABA-41-Moxd1-Pvalb,class,07 CTX-MGE GABA,58,1.0,0.2078853046594982,0.34421364985163205,0.99
GABA-41-Moxd1-Pvalb,subclass,052 Pvalb Gaba,35,0.7142857142857143,0.5384615384615384,0.6140350877192982,1.0
