source_label,level,target_name,n_cells,coverage,purity,f1,mean_boot,median_boot
VGLUT2-12-Pkib_Emx2,class,13 CNU-HYa Glut,11,1.0,0.010261194029850746,0.020313942751615882,0.9618181818181818,0.98
VGLUT2-13-Gpr88_Dgkk,class,13 CNU-HYa Glut,9,1.0,0.008395522388059701,0.016651248843663275,0.9088888888888889,0.92
VGLUT2-14-Tshz1_Col23a1,class,13 CNU-HYa Glut,16,1.0,0.014925373134328358,0.029411764705882353,0.929375,0.94
VGLUT2-15-Rxfp1_Rspo3,class,13 CNU-HYa Glut,30,1.0,0.027985074626865673,0.0544464609800363,0.98,1.0
VGLUT2-16-Mpped1_Col23a1,class,13 CNU-HYa Glut,3,1.0,0.002798507462686567,0.0055813953488372085,0.9533333333333333,0.97
VGLUT2-17-Crh_Deptor,class,13 CNU-HYa Glut,13,1.0,0.012126865671641791,0.023963133640552997,0.9769230769230769,1.0
VGLUT2-18-Papp2_Cdh23,class,13 CNU-HYa Glut,15,1.0,0.013992537313432836,0.027598896044158234,0.9913333333333334,1.0
VGLUT2-19-Fst_Foxb1,class,13 CNU-HYa Glut,2,1.0,0.0018656716417910447,0.0037243947858473,0.98,0.98
VGLUT2-2-Mafb_Ndnf,class,13 CNU-HYa Glut,39,1.0,0.036380597014925374,0.07020702070207022,0.9994871794871794,1.0
VGLUT2-20-Zic5_Serpinb1b,class,01 IT-ET Glut,9,1.0,0.002636976267213595,0.005260081823495032,0.9322222222222223,0.96
VGLUT2-21-Neurod6_Rorb,class,01 IT-ET Glut,57,1.0,0.01670084969235277,0.032853025936599424,0.9742105263157895,1.0
VGLUT2-22-Ebf2_Mylk,class,01 IT-ET Glut,3,0.1875,0.0008789920890711983,0.0017497812773403325,0.9233333333333333,0.91
VGLUT2-22-Ebf2_Mylk,class,13 CNU-HYa Glut,13,0.8125,0.012126865671641791,0.02389705882352941,0.9076923076923078,0.91
VGLUT2-23-Nov_Gpr83,class,01 IT-ET Glut,3,0.3333333333333333,0.0008789920890711983,0.0017533606078316772,0.9933333333333333,1.0
VGLUT2-23-Nov_Gpr83,class,13 CNU-HYa Glut,6,0.6666666666666666,0.005597014925373134,0.011100832562442183,0.8433333333333334,0.8200000000000001
VGLUT2-24-Cdkn1c_Penk,class,01 IT-ET Glut,1,0.125,0.0002929973630237328,0.0005846243788365975,0.96,0.96
VGLUT2-24-Cdkn1c_Penk,class,13 CNU-HYa Glut,7,0.875,0.0065298507462686565,0.012962962962962963,0.9185714285714285,0.95
VGLUT2-25-Ebf3_Penk,class,13 CNU-HYa Glut,24,1.0,0.022388059701492536,0.043795620437956206,0.9616666666666666,0.98
VGLUT2-26-Krt9_Matn2,class,13 CNU-HYa Glut,98,1.0,0.0914179104477612,0.1675213675213675,0.9460204081632653,0.96
VGLUT2-27-Cartpt_Igfbp6,class,01 IT-ET Glut,5,0.25,0.001464986815118664,0.002912904165452957,0.962,0.96
VGLUT2-27-Cartpt_Igfbp6,class,13 CNU-HYa Glut,15,0.75,0.013992537313432836,0.027472527472527472,0.9586666666666666,0.99
VGLUT2-28-Krt9_Penk,class,13 CNU-HYa Glut,83,1.0,0.07742537313432836,0.14372294372294372,0.9790361445783133,0.99
VGLUT2-29-Tac1_Cartpt,class,13 CNU-HYa Glut,31,1.0,0.028917910447761194,0.056210335448776065,0.9787096774193549,1.0
VGLUT2-3-Cd34_Papp2,class,13 CNU-HYa Glut,32,1.0,0.029850746268656716,0.05797101449275362,0.9934375,1.0
VGLUT2-30-Otp_Penk,class,13 CNU-HYa Glut,34,1.0,0.03171641791044776,0.061482820976491874,0.9458823529411764,0.95
VGLUT2-31-Otp_Greb1,class,13 CNU-HYa Glut,56,1.0,0.05223880597014925,0.09929078014184396,0.9658928571428572,0.995
VGLUT2-32-Oxt_Avp,class,14 HY Glut,3,1.0,1.0,1.0,1.0,1.0
